"","Mon_Risk_50_500_R","Mon_Ambig_50_800_R","Mon_Risk_50_1200_R","Mon_Risk_25_2500_R","Mon_Ambig_50_2500_R","Mon_Ambig_74_500_B","Mon_Risk_25_800_B","Mon_Risk_75_800_B","Mon_Ambig_50_800_B","Mon_Risk_50_1200_B","Mon_Ambig_24_1200_B","Mon_Risk_25_2500_B","Mon_Ambig_100_2500_G","Mon_Risk_25_500_R","Mon_Risk_25_800_R","Mon_Risk_75_800_R","Mon_Ambig_100_800_G","Mon_Risk_75_1200_R","Mon_Ambig_24_1200_R","Mon_Ambig_100_2500_G.1","Mon_Ambig_100_500_G","Mon_Ambig_100_800_G.1","Mon_Ambig_74_1200_B","Mon_Risk_50_2500_B","Mon_Risk_75_2500_B","Mon_Risk_75_500_R","Mon_Ambig_24_800_R","Mon_Ambig_74_1200_R","Mon_Ambig_100_1200_G","Mon_Risk_75_2500_R","Mon_Ambig_50_500_B","Mon_Ambig_74_800_B","Mon_Ambig_100_1200_G.1","Mon_Ambig_24_2500_B","Mon_Ambig_50_2500_B","Mon_Ambig_74_2500_B","Mon_Ambig_24_500_R","Mon_Risk_50_800_R","Mon_Ambig_74_800_R","Mon_Risk_25_1200_R","Mon_Ambig_50_1200_R","Mon_Risk_50_2500_R","Mon_Ambig_24_2500_R","Mon_Ambig_74_2500_R","Mon_Risk_50_800_B","Mon_Ambig_24_800_B","Mon_Risk_25_1200_B","Mon_Risk_75_1200_B","Mon_Ambig_50_1200_B"
"8","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"1","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0"
"3","0","0","0","1","1","0","0","1","0","1","1","0","0","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","1","1","1","0","0","0","1","0"
"2","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0"
"5","0","0","1","0","1","0","0","0","0","1","1","0","1","0","0","0","0","1","1","1","0","1","1","1","1","0","0","0","1","1","0","0","1","1","1","1","0","0","0","0","1","1","1","1","0","0","0","1","1"
"4","0","1","0","1","0","0","1","1","1","1","0","1","0","0","1","0","1","1","1","1","0","0","1","0","1","1","1","1","1","1","0","1","0","1","0","0","1","1","0","1","0","1","1","0","1","0","1","0","1"
"7","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"9","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","1","0"
"10","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","1","0"
"13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"17","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0"
"27","0","1","1","0","1","0","0","1","1","1","1","0","1","0","0","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1","0","1","1","0","1","1","1","1","1","1","0","1","1"
"11","0","1","0","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","1","1","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","1"
"19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0"
"15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"14","1","0","1","0","1","0","1","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","1","1","1","0","1","1","1","1","0"
"22","1","1","1","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","1","0","0","1","0","1","1","0","0","0","0","0","0","1","1","1","1","1","1","1","1","0","0","0","0","0"
"16","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0","0","0","1","0","0","1","0","1","1","0","1","0","0","1","0","1","1","0","1","0","0","1","1","1","1","0","0","0","1","0"
"18","0","0","1","1","1","0","0","0","0","0","1","0","1","0","0","0","0","1","1","1","0","0","0","1","1","0","0","1","1","1","0","0","1","1","1","1","0","0","0","0","1","1","1","1","0","0","0","1","1"
"46","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","1","1","1","0","0","0","1","0"
"25","0","0","1","0","1","0","0","1","0","1","1","0","1","0","1","0","0","1","1","1","0","0","1","0","1","0","0","1","1","1","0","0","0","0","0","1","0","0","0","1","1","1","1","1","0","0","0","1","1"
"24","0","0","1","1","0","0","1","1","0","1","0","1","0","1","1","1","0","1","0","0","0","0","0","1","1","1","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0"
"31","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","1","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","1","0","0","1","0"
"28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0"
"29","0","0","0","1","1","0","0","1","0","0","0","0","1","0","0","1","0","1","1","1","0","0","0","0","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","1","1","0","0","0","0","1","0"
"30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"38","0","0","1","0","1","0","0","1","1","1","0","0","0","0","0","1","0","1","1","0","0","0","0","1","1","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","1","0","1","0"
"34","0","0","0","1","1","0","0","1","0","0","0","1","0","0","0","1","0","1","0","1","0","0","0","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","1","1","0","0","0","0","1","0"
"35","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0"
"36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"52","0","0","1","0","1","0","0","1","0","1","1","0","0","0","0","1","0","1","1","0","0","0","0","1","1","1","1","1","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","1"
"40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"42","0","0","1","0","1","0","0","1","0","1","1","1","0","0","0","1","0","1","1","0","0","0","0","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","1","1","1","1","0","0","0","1","1"
"41","0","1","1","1","1","0","0","0","0","1","0","0","0","1","1","1","1","1","1","1","0","0","0","0","0","1","1","1","1","1","0","0","0","0","0","0","1","1","1","1","1","1","1","1","0","0","0","0","0"
"44","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","1","1","0","0","0","0","1","0","0","1","1","1","1","0","0","0","0","0","1","1","1","0","0","0","1","0"
"49","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","1","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","1","1"
"45","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","1","1","1","0","0","0","0","0"
"47","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"48","0","0","1","0","1","0","0","1","0","1","0","0","0","0","0","1","0","1","1","0","0","0","0","1","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0"
"50","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"51","0","0","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0","1","1","1","0","0","1","1","1","0","1","1","1","1","0","1","0","1","1","1","1","0","1","0","1","1","1","1","0","0","0","1","1"
"53","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"54","0","0","1","1","1","0","0","0","0","1","1","1","1","0","0","0","0","1","1","1","0","0","1","1","1","0","0","1","1","1","0","0","1","1","1","1","0","0","0","1","1","1","1","1","0","0","1","1","1"
"55","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0"
"56","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0"
"57","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0"
"58","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"59","0","0","1","1","1","0","0","1","0","1","1","1","0","0","1","0","0","1","1","1","0","0","1","1","1","0","1","1","1","1","0","0","0","1","1","1","0","1","1","1","1","1","1","1","1","0","1","1","1"
"60","0","0","1","0","0","0","0","1","0","1","1","1","1","0","0","1","0","1","1","0","0","0","1","1","1","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","1","1","0","0","0","1","1","0"
